iter	RMSE
0	0.0219621183
1	0.02187206046
2	0.02180313893
3	0.02174325193
4	0.02169752324
5	0.02165292736
6	0.02161091847
7	0.02156774451
8	0.0215273987
9	0.02149400866
10	0.02145959586
11	0.02142006432
12	0.02139032456
13	0.02136244845
14	0.0213463841
15	0.02133385722
16	0.02130933445
17	0.02128368398
18	0.02122920465
19	0.02122396711
20	0.02120456494
21	0.02119821207
22	0.02117089937
23	0.02112654044
24	0.02110586038
25	0.02109456437
26	0.0210704678
27	0.02104995601
28	0.02104664558
29	0.02102799343
30	0.0210148028
31	0.02099519777
32	0.02097943463
33	0.02095097162
34	0.02093774667
35	0.02092438024
36	0.02091862513
37	0.02090191691
38	0.0208893883
39	0.02087790178
40	0.02085243167
41	0.02083945242
42	0.02082125844
43	0.02080693181
44	0.02078862452
45	0.02077751127
46	0.02076390628
47	0.02075697548
48	0.02074928146
49	0.02073856853
50	0.02071673083
51	0.02071265247
52	0.02070028824
53	0.020688866
54	0.02067874108
55	0.02066323405
56	0.02064748846
57	0.02062872437
58	0.02061604952
59	0.02059709325
60	0.02059227753
61	0.02057741292
62	0.02056688638
63	0.02054797253
64	0.02053741725
65	0.02052519432
66	0.02051907435
67	0.02051039013
68	0.0204693088
69	0.02045481445
70	0.02043806278
71	0.02042522101
72	0.02040826339
73	0.02040302525
74	0.02039858763
75	0.02039092366
76	0.02037821671
77	0.02037053073
78	0.020359524
79	0.02034537201
80	0.02032864542
81	0.02032470591
82	0.02031764086
83	0.02030577125
84	0.02029869677
85	0.02027356665
86	0.02026709645
87	0.02026267774
88	0.02025808374
89	0.0202526908
90	0.0202461968
91	0.02023539195
92	0.02021497061
93	0.02021320127
94	0.0202004735
95	0.02019523502
96	0.02018503074
97	0.02016765157
98	0.02016493312
99	0.02015229783
